Award ID,Agency,Office,Recipient,NAICS,Total Value,Start Date,Expiration
36F79718D0528,Department of Veterans Affairs,NAC FEDERAL SUPPLY SCHEDULE (36F797),ABBVIE US LLC,325412 - PHARMACEUTICAL PREPARATION MANUFACTURING,"$8,590,452,220.00 ",9/1/2018,12/31/2025
DTFAWA03C00015R,Department of Transportation,693JF9 HEADQUARTERS,"LEIDOS, INC.",334290 - OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING,"$4,500,000,000.00 ",10/11/2003,12/31/2025
W56HZV21D0001,Department of Defense,W6QK ACC- DTA,GENERAL DYNAMICS LAND SYSTEMS INC.,"336992 - MILITARY ARMORED VEHICLE, TANK, AND TANK COMPONENT MANUFACTURING","$4,200,000,000.00 ",12/18/2020,12/31/2025
FA863017D5030,Department of Defense,FA8630  AFLCMC WFK AFSAC,S & K AEROSPACE LLC,"541614 - PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES","$4,200,000,000.00 ",1/1/2017,12/31/2025
36F79718D0503,Department of Veterans Affairs,NAC FEDERAL SUPPLY SCHEDULE (36F797),ELI LILLY AND COMPANY,325412 - PHARMACEUTICAL PREPARATION MANUFACTURING,"$3,600,000,000.00 ",8/1/2018,12/31/2025
19AQMM21D0003,Department of State,ACQUISITIONS - AQM MOMENTUM,CGI FEDERAL INC.,541513 - COMPUTER FACILITIES MANAGEMENT SERVICES,"$3,300,005,000.00 ",12/15/2020,12/14/2025
19AQMM21D0012,Department of State,ACQUISITIONS - AQM MOMENTUM,GENERAL DYNAMICS INFORMATION TECHNOLOGY INC.,541513 - COMPUTER FACILITIES MANAGEMENT SERVICES,"$3,300,000,000.00 ",12/15/2020,12/14/2025
FA868921D2021,Department of Defense,FA8689  AFLCMC WIIK        UAS,RAYTHEON COMPANY,336413 - OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,"$3,000,000,000.00 ",7/9/2021,12/31/2025
HC102817D0001,Department of Defense,IT CONTRACTING DIVISION - PL83,MICROSOFT CORPORATION,541512 - COMPUTER SYSTEMS DESIGN SERVICES,"$2,990,500,000.00 ",12/21/2016,12/20/2025
FA810719D0001,Department of Defense,FA8138  AFLCMC WBK,THE BOEING COMPANY,336411 - AIRCRAFT MANUFACTURING,"$2,373,886,647.32 ",1/1/2019,12/31/2025
FA867220D0001,Department of Defense,FA8213  AFLCMC EBHK,THE BOEING COMPANY,332993 - AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING,"$2,239,707,532.00 ",9/24/2020,12/31/2025
36C77020A0009,Department of Veterans Affairs,NATIONAL CMOP OFFICE (36C770),"FEDEX SUPPLY CHAIN DISTRIBUTION SYSTEM, INC.",561499 - ALL OTHER BUSINESS SUPPORT SERVICES,"$1,368,648,710.88 ",7/1/2020,12/31/2025
FA854019D0001,Department of Defense,FA8540  AFLCMC HBKB,NORTHROP GRUMMAN SYSTEMS CORPORATION,541330 - ENGINEERING SERVICES,"$1,310,000,000.00 ",1/1/2019,12/31/2025
N6449819D0003,Department of Defense,NSWC PHILADELPHIA DIV,ELECTRIC BOAT CORPORATION,541330 - ENGINEERING SERVICES,"$1,110,350,671.00 ",12/26/2018,12/25/2025
H9224119D0003,Department of Defense,AMSAM-SPK,"BOEING SIKORSKY AIRCRAFT SUPPORT, LLC",488190 - OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,"$1,107,988,658.04 ",1/1/2019,12/31/2025
693KA922D00003,Department of Transportation,693KA9 CONTRACTING FOR SERVICES,A3 TECHNOLOGY INC,541330 - ENGINEERING SERVICES,"$1,039,162,803.00 ",11/9/2021,12/31/2025
