Business name,Capabilities narrative,Capabilities statement link,Active SBA certifications,Contact person's name,Contact person's email,Address line 1,Address line 2,City,State,Zipcode,Primary NAICS code,All NAICS codes,“Small” NAICS codes
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/VK22MYTTHZH3/3UDE4"", ""WARM SPRINGS CONSTRUCTION ENTERPRISE"" )","Roads/Highway Construction, Repair, and Maintenance, Flagging, Heavy Equipment Operators, Custom Tile, Wall Tile, Floor Tile, Quick Set Cement, Fast Set Cement, Concrete, Payroll Software, Human Resources Software, Records Storage, Industrial Park",,8(a),JAMES SOUERS,JIM.SOUERS@WSTRIBES.ORG,4202 HOLLIDAY ST,,WARM SPRINGS,Oregon,97761,237310,"212321, 236115, 236118, 236220, 237110, 237210, 237310, 237990, 238110, 238120, 238130, 238190, 238320, 238350, 238910","212321, 236115, 236118, 236220, 237110, 237210, 237310, 237990, 238110, 238120, 238130, 238190, 238320, 238350, 238910"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/DXCYR1JGELG1/465S1"", ""GRIFFITH CONTRACTING, LLC"" )","Griffith Contracting is a veteran-owned and woman-owned small business, our 8a certification and Hubzone status make us an ideal choice for the Federal Government. Built with 30 years experience and proven past performance of 60 completed federal contracts. Valued in excess of $26 million in Industrial, Military, Health and Government sectors.",http://www.griffithcontracting.com/uploads/2/6/8/8/26888696/griffith_contracting_-_capability_statement_may2024,"8(a), HUBZone, WOSB, EDWOSB",LEANN GRIFFITH,leann@griffithcontracting.com,29400 E 68TH ST S,,BROKEN ARROW,Oklahoma,74014,236220,"236220, 237310, 237990, 238160, 238210, 238220, 238320, 238330, 238910, 238990, 561730","236220, 237310, 237990, 238160, 238210, 238220, 238320, 238330, 238910, 238990, 561730"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/K6N8ZTZ3L5M5/845X9"", ""KAIA INC"" )","KAIA Inc. delivers mission-ready visualization that supports faster decisions, improves operator performance, and reduces uncertainty. We serve programs across defense, aerospace, and energy by transforming complex technical systems into intuitive visuals—digital twins, interactive walkthroughs, user interfaces, and mission-aligned tools. Our Emmy-winning team has over 30 years of experience supporting federal clients including FAA, DHS, and BLM. We help agencies communicate with clarity, streamline operations, and minimize risk through targeted visual assets. From stakeholder briefings to engineering support, KAIA builds tools that increase comprehension before systems go live. Our visuals accelerate onboarding, reduce delays, and support high-performance execution. KAIA combines operational insight with design expertise to deliver clear, actionable media that aligns with mission needs and enhances overall readiness.",http://tinyurl.com/KAIAcapabilityStatement,8(a),JONATHAN LEVY,jon.levy@kaiainc.com,3015 NE 98TH CI,,VANCOUVER,Washington,98665,541519,"512110, 512120, 512191, 513199, 516210, 541330, 541410, 541430, 541490, 541511, 541512, 541513, 541519, 541611, 541613, 541618, 541713, 541714, 541715, 541720, 541810, 541820, 541840, 541910, 541922, 541990, 561410, 611420, 611430, 611512, 611710","512110, 512120, 512191, 513199, 516210, 541330, 541410, 541430, 541490, 541511, 541512, 541513, 541519, 541611, 541613, 541618, 541713, 541714, 541715, 541720, 541810, 541820, 541840, 541910, 541922, 541990, 561410, 611420, 611430, 611512, 611710"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/VAYNGUJDQ2R1/85KL4"", ""MICRON AIR & MECHANICAL SOLUTIONS INC"" )",,,8(a),KEVIN BUENO,kbueno@micronams.com,3553 BLACKWELL PL,,LEXINGTON,Kentucky,40509,238220,"236115, 236116, 236210, 236220, 237990, 238220, 238290, 541990, 811310","236115, 236116, 236210, 236220, 237990, 238220, 238290, 541990, 811310"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/S443VJC4SG95/9MF16"", ""BERING-WESTON JV, LLC"" )","Bering-Weston is a Joint Venture between Bering Straits Global Innovations, LLC (BSGI), an 8(a) certified company, and Weston Solutions, Inc. (Weston), a full-service engineering and construction firm. Our partnership builds upon multiple projects performed together under prime/sub relationships and long-term, legacy working relationships between a number of our key personnel, and decades of experience working with the Department of Defense (DoD) supporting military and civil construction programs and environmental restoration programs. For 25+ years, Weston has been providing clients with unparalleled support of all phases of design-build contracts, attending pre-construction conferences, reviewing contractor submittals/RFIs, providing QA/QC reviews of contractor submittals, and preparing value engineering proposals. Since 2015 Weston has been awarded 2,400+ projects valued at over $2.5B dollars of engineering and construction services to government and commercial industry clients.",,8(a) JV,RICHARD KERR,rkerr@bsnc.net,3301 C ST STE 400,,ANCHORAGE,Alaska,99503,236210,"221310, 236115, 236116, 236210, 236220, 237110, 237120, 237130, 237990, 238190, 238320, 238910, 238990, 492110, 522390, 541330, 541614, 562211, 562910, 562998, 811111","221310, 236115, 236116, 236210, 236220, 237110, 237120, 237130, 237990, 238190, 238320, 238910, 238990, 492110, 522390, 541330, 541614, 562211, 562910, 562998, 811111"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/TX2SS15JMHD3/8TD64"", ""YULISTA SERVICES, LLC"" )",,,8(a),LATOSHA GORDON,latosha.gordon@yulista.com,120 BOLLING RD,,MERIDIANVILLE,Alabama,35759,336413,336413,336413
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/KJFPJM86BPS4/7YR71"", ""SEALASKA REMEDIATION SOLUTIONS, LLC"" )","Sealaska Remediation Solutions was 8(a) certified on February 7, 2019. We are a full service environmental consultant that specializes in environmental site assessment; environmental planning, permitting and reporting; regulatory compliance; remedial investigation; environmental engineering and remediation system design; groundwater, soil, surface water and sediment remediation; in situ groundwater investigation and remediation; remediation system operation, maintenance and optimization; and long-term monitoring and remedy assessment.",,8(a),DAVID KOSTOROWSKI,david.kostorowski.2@sealaska.com,1200 6TH AVE STE 800,,SEATTLE,Washington,98101,562910,"237990, 541330, 541620, 541990, 561990, 562211, 562910, 562998","237990, 541330, 541620, 541990, 561990, 562211, 562910, 562998"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/CSN3LHCMNX48/79MG3"", ""ALEUT OPERATIONS, LLC"" )","Aleut Operations, LLC, provides professional business and program management services including project management, technology support services, and program support services. Aleut Operations can deliver, integrate, facilitate and maintain government and commercial operations and processes.",,8(a),CLINT BENFIELD,darrel.benfield@aleutfederal.com,2550 DENALI ST STE 1050,,ANCHORAGE,Alaska,99503,541611,"236220, 532289, 532420, 532490, 541611, 541614, 541618, 541690, 561210, 561720, 561730, 611519","236220, 532420, 532490, 541611, 561210, 611519"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/QUAWKRJT6DC5/9WGW9"", ""CCI CONSTRUCTION AND UTILITY SERVICES, LLC"" )",,,8(a),JOHN MORRISON,dmorrison@bbch-llc.com,29 BOWDOIN ST STE 115,,MANCHESTER,Maine,04351,237110,237110,237110
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/TGGAL8H2TRQ4/8WD37"", ""ISLAND EMPIRE TECHNOLOGY SYSTEMS LLC"" )","Island Empire Technology Systems (IETS) – Capability Statement

Island Empire Technology Systems, LLC (IETS) is a Native Hawaiian Organization (NHO)-owned, SBA 8(a) certified small business delivering IT and professional services to federal agencies. With CMMI DEV & SVC L3, ISO 9001, 20000 & 27001 certifications, we ensure secure, efficient, and high-quality solutions.

Core Capabilities

IT & Business Consulting: Strategy, PMO, IV&V, CIO Advisory

Cybersecurity & Infrastructure: FISMA/NIST compliance, cyber defense, datacenter & enterprise ops

Digital Innovation: AI/ML, Data Analytics, Cloud, DevOps/DevSecOps, RPA, UI/UX, mobile solutions

Application Services: Custom development, COTS integration, BI, QA/testing

Training & Professional Services: Executive coaching, HR/staffing, records & admin support

Certifications: SBA 8(a), NHO, CMMI L3, ISO 9001/20000/27001
UEI: TGGAL8H2TRQ4 | CAGE: 8WD37 | NAICS: 541611, 541618, 541511, 541512, 541513, 541519, 611430",https://certifications.sba.gov/capabilities/TGGAL8H2TRQ4,8(a),ALEX HEIDT,Finance@digitalspec.net,747 MALUNIU AVE,,KAILUA,Hawaii,96734,541611,"334112, 513210, 518210, 541330, 541511, 541512, 541513, 541519, 541611, 541613, 541614, 541618, 541690, 541990, 561110, 561210, 561312, 561410, 561439, 611420, 611430","334112, 513210, 518210, 541330, 541511, 541512, 541513, 541519, 541611, 541613, 541614, 541618, 541690, 541990, 561110, 561210, 561312, 561410, 561439, 611420, 611430"
